Дата_продажи,Артикул,Наименование_товара,Категория,Количество,Единица_измерения,Цена_за_ед_KZT,Сумма_KZT,ID_Клиента,Склад_отгрузки,Остаток_на_конец_дня
2025-12-18,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,9,шт,4600.0,41400.0,CLNT-1076,Склад Астана (Главный РЦ),416
2025-12-18,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,6,шт,4200.0,25200.0,CLNT-1033,Склад Алматы (Южный РЦ),527
2025-12-18,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,13,шт,4200.0,54600.0,CLNT-1054,Склад Алматы (Южный РЦ),514
2025-12-18,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,12,шт,3850.0,46200.0,CLNT-1112,Склад Астана (Главный РЦ),646
2025-12-18,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,3,шт,3850.0,11550.0,CLNT-1116,Склад Алматы (Южный РЦ),909
2025-12-18,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,30,шт,3850.0,115500.0,CLNT-1088,Склад Астана (Главный РЦ),616
2025-12-18,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1052,Склад Астана (Главный РЦ),113
2025-12-18,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,10,шт,5400.0,54000.0,CLNT-1115,Склад Астана (Главный РЦ),1461
2025-12-18,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,30,шт,5400.0,162000.0,CLNT-1001,Склад Астана (Главный РЦ),1431
2025-12-18,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,35,шт,5400.0,189000.0,CLNT-1050,Склад Алматы (Южный РЦ),933
2025-12-18,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,1,шт,5400.0,5400.0,CLNT-1098,Склад Астана (Главный РЦ),1430
2025-12-18,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,28,шт,4800.0,134400.0,CLNT-1088,Склад Астана (Главный РЦ),688
2025-12-18,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,10,шт,4800.0,48000.0,CLNT-1081,Склад Астана (Главный РЦ),678
2025-12-18,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,46,шт,4637.23,213312.58,CLNT-1020,Склад Астана (Главный РЦ),632
2025-12-18,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,30,шт,4800.0,144000.0,CLNT-1023,Склад Астана (Главный РЦ),602
2025-12-18,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,81,шт,420.0,34020.0,CLNT-1094,Склад Астана (Главный РЦ),1059
2025-12-18,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,61,шт,420.0,25620.0,CLNT-1087,Склад Астана (Главный РЦ),998
2025-12-18,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,98,шт,420.0,41160.0,CLNT-1036,Склад Алматы (Южный РЦ),2118
2025-12-18,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,12,шт,6200.0,74400.0,CLNT-1072,Склад Астана (Главный РЦ),207
2025-12-18,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,8,шт,6200.0,49600.0,CLNT-1097,Склад Астана (Главный РЦ),199
2025-12-18,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,8,шт,6200.0,49600.0,CLNT-1105,Склад Астана (Главный РЦ),191
2025-12-18,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,8,шт,3100.0,24800.0,CLNT-1071,Склад Алматы (Южный РЦ),149
2025-12-18,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,5,шт,3100.0,15500.0,CLNT-1025,Склад Алматы (Южный РЦ),144
2025-12-18,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,19,шт,1450.0,27550.0,CLNT-1004,Склад Астана (Главный РЦ),1658
2025-12-18,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,1,шт,1450.0,1450.0,CLNT-1013,Склад Астана (Главный РЦ),1657
2025-12-18,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,34,шт,1200.0,40800.0,CLNT-1106,Склад Астана (Главный РЦ),1414
2025-12-18,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,15,шт,850.0,12750.0,CLNT-1097,Склад Астана (Главный РЦ),301
2025-12-18,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,7,шт,850.0,5950.0,CLNT-1055,Склад Астана (Главный РЦ),294
2025-12-18,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,27,шт,850.0,22950.0,CLNT-1018,Склад Астана (Главный РЦ),267
2025-12-18,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,14,шт,850.0,11900.0,CLNT-1084,Склад Алматы (Южный РЦ),282
2025-12-18,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,9,шт,720.0,6480.0,CLNT-1092,Склад Алматы (Южный РЦ),1292
2025-12-18,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,33,шт,720.0,23760.0,CLNT-1072,Склад Астана (Главный РЦ),1244
2025-12-18,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,144,м,160.0,23040.0,CLNT-1043,Склад Алматы (Южный РЦ),3051
2025-12-18,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,48,м,2850.0,136800.0,CLNT-1044,Склад Алматы (Южный РЦ),1174
2025-12-18,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,30,м,2850.0,85500.0,CLNT-1115,Склад Астана (Главный РЦ),876
2025-12-18,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,50,м,2850.0,142500.0,CLNT-1050,Склад Алматы (Южный РЦ),1124
2025-12-18,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,131,м,75.0,9825.0,CLNT-1037,Склад Астана (Главный РЦ),11154
2025-12-18,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,200,м,75.0,15000.0,CLNT-1028,Склад Астана (Главный РЦ),10954
2025-12-18,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,1,м,75.0,75.0,CLNT-1024,Склад Астана (Главный РЦ),10953
2025-12-18,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,116,м,75.0,8700.0,CLNT-1092,Склад Астана (Главный РЦ),10837
2025-12-18,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,10,шт,14200.0,142000.0,CLNT-1056,Склад Астана (Главный РЦ),162
2025-12-18,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,3,шт,14200.0,42600.0,CLNT-1031,Склад Астана (Главный РЦ),159
2025-12-18,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,3,шт,14200.0,42600.0,CLNT-1036,Склад Астана (Главный РЦ),156
2025-12-18,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,4,шт,14200.0,56800.0,CLNT-1018,Склад Астана (Главный РЦ),152
2025-12-18,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,1,шт,24500.0,24500.0,CLNT-1087,Склад Астана (Главный РЦ),235
2025-12-18,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,1,шт,24500.0,24500.0,CLNT-1066,Склад Астана (Главный РЦ),234
2025-12-18,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,3,шт,24500.0,73500.0,CLNT-1079,Склад Астана (Главный РЦ),231
2025-12-18,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,46,шт,480.0,22080.0,CLNT-1041,Склад Алматы (Южный РЦ),2206
2025-12-18,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,41,шт,480.0,19680.0,CLNT-1018,Склад Астана (Главный РЦ),498
2025-12-18,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,133,шт,110.0,14630.0,CLNT-1000,Склад Астана (Главный РЦ),5418
2025-12-18,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,148,шт,110.0,16280.0,CLNT-1104,Склад Астана (Главный РЦ),5270
2025-12-19,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,117,м,420.0,49140.0,CLNT-1015,Склад Алматы (Южный РЦ),4306
2025-12-19,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,67,м,420.0,28140.0,CLNT-1097,Склад Алматы (Южный РЦ),4239
2025-12-19,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,51,м,420.0,21420.0,CLNT-1072,Склад Алматы (Южный РЦ),4188
2025-12-19,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,63,м,420.0,26460.0,CLNT-1002,Склад Астана (Главный РЦ),5044
2025-12-19,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,152,м,680.0,103360.0,CLNT-1082,Склад Алматы (Южный РЦ),7416
2025-12-19,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,205,м,680.0,139400.0,CLNT-1087,Склад Астана (Главный РЦ),5005
2025-12-19,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,75,м,680.0,51000.0,CLNT-1057,Склад Астана (Главный РЦ),4930
2025-12-19,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,122,м,680.0,82960.0,CLNT-1030,Склад Алматы (Южный РЦ),7294
2025-12-19,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,44,м,950.0,41800.0,CLNT-1044,Склад Астана (Главный РЦ),1379
2025-12-19,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,17,м,950.0,16150.0,CLNT-1081,Склад Алматы (Южный РЦ),3132
2025-12-19,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,37,м,950.0,35150.0,CLNT-1117,Склад Астана (Главный РЦ),1342
2025-12-19,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,7,м,950.0,6650.0,CLNT-1058,Склад Алматы (Южный РЦ),3125
2025-12-19,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,2,м,180.0,360.0,CLNT-1036,Склад Астана (Главный РЦ),3254
2025-12-19,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,98,м,180.0,17640.0,CLNT-1022,Склад Алматы (Южный РЦ),3224
2025-12-19,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,64,м,180.0,11520.0,CLNT-1049,Склад Алматы (Южный РЦ),3160
2025-12-19,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,75,м,540.0,40500.0,CLNT-1047,Склад Алматы (Южный РЦ),1012
2025-12-19,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,67,м,540.0,36180.0,CLNT-1038,Склад Астана (Главный РЦ),4883
2025-12-19,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,31,м,540.0,16740.0,CLNT-1058,Склад Астана (Главный РЦ),4852
2025-12-19,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,37,шт,1150.0,42550.0,CLNT-1069,Склад Алматы (Южный РЦ),495
2025-12-19,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,12,шт,1150.0,13800.0,CLNT-1016,Склад Алматы (Южный РЦ),483
2025-12-19,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,68,шт,1150.0,78200.0,CLNT-1051,Склад Астана (Главный РЦ),1026
2025-12-19,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,9,шт,1150.0,10350.0,CLNT-1053,Склад Астана (Главный РЦ),1017
2025-12-19,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,36,шт,1150.0,41400.0,CLNT-1056,Склад Алматы (Южный РЦ),2090
2025-12-19,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,17,шт,1150.0,19550.0,CLNT-1059,Склад Алматы (Южный РЦ),2073
2025-12-19,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,53,шт,1150.0,60950.0,CLNT-1041,Склад Астана (Главный РЦ),847
2025-12-19,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,33,шт,1150.0,37950.0,CLNT-1017,Склад Алматы (Южный РЦ),2040
2025-12-19,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,8,шт,4600.0,36800.0,CLNT-1091,Склад Астана (Главный РЦ),408
2025-12-19,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,16,шт,4600.0,73600.0,CLNT-1024,Склад Астана (Главный РЦ),392
2025-12-19,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,13,шт,4200.0,54600.0,CLNT-1070,Склад Алматы (Южный РЦ),501
2025-12-19,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,17,шт,4200.0,71400.0,CLNT-1101,Склад Алматы (Южный РЦ),484
2025-12-19,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,6,шт,4200.0,25200.0,CLNT-1082,Склад Астана (Главный РЦ),723
2025-12-19,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,4,шт,3850.0,15400.0,CLNT-1018,Склад Астана (Главный РЦ),612
2025-12-19,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,19,шт,3850.0,73150.0,CLNT-1069,Склад Астана (Главный РЦ),593
2025-12-19,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,14,шт,3850.0,53900.0,CLNT-1038,Склад Алматы (Южный РЦ),895
2025-12-19,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1027,Склад Астана (Главный РЦ),110
2025-12-19,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,2,шт,18500.0,37000.0,CLNT-1113,Склад Астана (Главный РЦ),108
2025-12-19,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1049,Склад Астана (Главный РЦ),105
2025-12-19,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1055,Склад Алматы (Южный РЦ),161
2025-12-19,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,68,шт,5171.9,351689.2,CLNT-1003,Склад Алматы (Южный РЦ),865
2025-12-19,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,30,шт,5400.0,162000.0,CLNT-1085,Склад Астана (Главный РЦ),1400
2025-12-19,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,33,шт,4594.68,151624.44,CLNT-1095,Склад Астана (Главный РЦ),569
2025-12-19,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,12,шт,4800.0,57600.0,CLNT-1082,Склад Алматы (Южный РЦ),132
2025-12-19,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,122,шт,420.0,51240.0,CLNT-1040,Склад Астана (Главный РЦ),876
2025-12-19,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,29,шт,420.0,12180.0,CLNT-1016,Склад Алматы (Южный РЦ),2089
2025-12-19,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,11,шт,6200.0,68200.0,CLNT-1119,Склад Астана (Главный РЦ),180
2025-12-19,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,7,шт,6200.0,43400.0,CLNT-1067,Склад Алматы (Южный РЦ),440
2025-12-19,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,9,шт,6200.0,55800.0,CLNT-1112,Склад Алматы (Южный РЦ),431
2025-12-19,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,12,шт,6200.0,74400.0,CLNT-1012,Склад Астана (Главный РЦ),168
2025-12-19,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,2,шт,3100.0,6200.0,CLNT-1001,Склад Астана (Главный РЦ),378
2025-12-19,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,14,шт,1450.0,20300.0,CLNT-1011,Склад Астана (Главный РЦ),1643
2025-12-19,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,27,шт,1200.0,32400.0,CLNT-1045,Склад Алматы (Южный РЦ),546
2025-12-19,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,47,шт,1200.0,56400.0,CLNT-1019,Склад Астана (Главный РЦ),1367
2025-12-19,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,20,шт,1200.0,24000.0,CLNT-1039,Склад Алматы (Южный РЦ),526
2025-12-19,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,18,шт,850.0,15300.0,CLNT-1116,Склад Астана (Главный РЦ),1409
2025-12-19,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,21,шт,720.0,15120.0,CLNT-1022,Склад Астана (Главный РЦ),1223
2025-12-19,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,47,шт,720.0,33840.0,CLNT-1012,Склад Астана (Главный РЦ),1176
2025-12-19,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,1,шт,720.0,720.0,CLNT-1020,Склад Алматы (Южный РЦ),1291
2025-12-19,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,23,шт,720.0,16560.0,CLNT-1019,Склад Алматы (Южный РЦ),1268
2025-12-19,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,12,м,160.0,1920.0,CLNT-1068,Склад Астана (Главный РЦ),3130
2025-12-19,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,1,м,160.0,160.0,CLNT-1052,Склад Алматы (Южный РЦ),3050
2025-12-19,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,46,м,2850.0,131100.0,CLNT-1080,Склад Астана (Главный РЦ),830
2025-12-19,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,43,м,2850.0,122550.0,CLNT-1035,Склад Астана (Главный РЦ),787
2025-12-19,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,129,м,75.0,9675.0,CLNT-1084,Склад Алматы (Южный РЦ),4516
2025-12-19,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,144,м,75.0,10800.0,CLNT-1116,Склад Алматы (Южный РЦ),4372
2025-12-19,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,14,шт,13283.02,185962.28,CLNT-1005,Склад Астана (Главный РЦ),138
2025-12-19,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,4,шт,14200.0,56800.0,CLNT-1048,Склад Астана (Главный РЦ),134
2025-12-19,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,6,шт,14200.0,85200.0,CLNT-1098,Склад Астана (Главный РЦ),128
2025-12-19,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,3,шт,14200.0,42600.0,CLNT-1088,Склад Астана (Главный РЦ),125
2025-12-19,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,4,шт,24500.0,98000.0,CLNT-1074,Склад Алматы (Южный РЦ),126
2025-12-19,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,3,шт,24500.0,73500.0,CLNT-1057,Склад Астана (Главный РЦ),228
2025-12-19,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,2,шт,24500.0,49000.0,CLNT-1062,Склад Алматы (Южный РЦ),124
2025-12-19,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,86,шт,480.0,41280.0,CLNT-1010,Склад Алматы (Южный РЦ),2120
2025-12-19,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,71,шт,480.0,34080.0,CLNT-1008,Склад Алматы (Южный РЦ),2049
2025-12-19,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,46,шт,480.0,22080.0,CLNT-1079,Склад Астана (Главный РЦ),3017
2025-12-19,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,1,шт,110.0,110.0,CLNT-1119,Склад Астана (Главный РЦ),5269
2025-12-19,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,116,шт,110.0,12760.0,CLNT-1085,Склад Алматы (Южный РЦ),6660
2025-12-20,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,65,м,420.0,27300.0,CLNT-1037,Склад Алматы (Южный РЦ),4123
2025-12-20,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,25,м,180.0,4500.0,CLNT-1102,Склад Астана (Главный РЦ),3229
2025-12-20,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,7,шт,4200.0,29400.0,CLNT-1065,Склад Астана (Главный РЦ),716
2025-12-20,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,11,шт,3850.0,42350.0,CLNT-1117,Склад Астана (Главный РЦ),582
2025-12-20,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1021,Склад Астана (Главный РЦ),104
2025-12-20,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,6,шт,5400.0,32400.0,CLNT-1039,Склад Астана (Главный РЦ),1394
2025-12-20,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,1,шт,4800.0,4800.0,CLNT-1043,Склад Алматы (Южный РЦ),1059
2025-12-20,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,4,шт,6200.0,24800.0,CLNT-1111,Склад Астана (Главный РЦ),164
2025-12-20,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,2,шт,850.0,1700.0,CLNT-1115,Склад Астана (Главный РЦ),1407
2025-12-20,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,45,м,160.0,7200.0,CLNT-1034,Склад Алматы (Южный РЦ),3005
2025-12-20,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,16,м,75.0,1200.0,CLNT-1109,Склад Алматы (Южный РЦ),4356
2025-12-20,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,43,шт,110.0,4730.0,CLNT-1033,Склад Астана (Главный РЦ),5226
2025-12-21,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,13,м,950.0,12350.0,CLNT-1117,Склад Алматы (Южный РЦ),3112
2025-12-21,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,5,шт,4200.0,21000.0,CLNT-1097,Склад Астана (Главный РЦ),711
2025-12-21,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,2,шт,3850.0,7700.0,CLNT-1047,Склад Астана (Главный РЦ),580
2025-12-21,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,1,шт,18500.0,18500.0,CLNT-1030,Склад Астана (Главный РЦ),103
2025-12-21,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,24,шт,420.0,10080.0,CLNT-1103,Склад Астана (Главный РЦ),3232
2025-12-21,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,1,шт,6200.0,6200.0,CLNT-1111,Склад Алматы (Южный РЦ),430
2025-12-21,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,7,шт,1200.0,8400.0,CLNT-1078,Склад Алматы (Южный РЦ),519
2025-12-21,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,4,шт,850.0,3400.0,CLNT-1025,Склад Алматы (Южный РЦ),278
2025-12-21,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,45,м,160.0,7200.0,CLNT-1011,Склад Алматы (Южный РЦ),2960
2025-12-21,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,24,м,2850.0,68400.0,CLNT-1029,Склад Алматы (Южный РЦ),1100
2025-12-21,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,46,м,75.0,3450.0,CLNT-1049,Склад Алматы (Южный РЦ),4310
2025-12-21,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,1,шт,14200.0,14200.0,CLNT-1060,Склад Астана (Главный РЦ),124
