Дата_продажи,Артикул,Наименование_товара,Категория,Количество,Единица_измерения,Цена_за_ед_KZT,Сумма_KZT,ID_Клиента,Склад_отгрузки,Остаток_на_конец_дня,Тип_Транзакции,Примечание_Закупщика
2025-11-27,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,31,м,1450.0,44950.0,CLNT-1039,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,24,м,1450.0,34800.0,CLNT-1017,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,87,шт,1150.0,100050.0,CLNT-1057,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,66,шт,1150.0,75900.0,CLNT-1063,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,75,шт,1150.0,86250.0,CLNT-1045,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,54,шт,1150.0,62100.0,CLNT-1023,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,22,шт,4600.0,101200.0,CLNT-1070,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,23,шт,4600.0,105800.0,CLNT-1016,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,32,шт,4200.0,134400.0,CLNT-1096,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,25,шт,4200.0,105000.0,CLNT-1064,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,36,шт,3850.0,138600.0,CLNT-1108,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,23,шт,3850.0,88550.0,CLNT-1068,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,4,шт,18500.0,74000.0,CLNT-1021,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,2,шт,18500.0,37000.0,CLNT-1040,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,96,шт,5400.0,518400.0,CLNT-1122,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,69,шт,5400.0,372600.0,CLNT-1128,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,71,шт,4800.0,340800.0,CLNT-1147,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,53,шт,4800.0,254400.0,CLNT-1121,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,207,шт,420.0,86940.0,CLNT-1028,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,148,шт,420.0,62160.0,CLNT-1013,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,40,шт,6200.0,248000.0,CLNT-1041,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,19,шт,6200.0,117800.0,CLNT-1035,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,29,шт,3100.0,89900.0,CLNT-1033,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,31,шт,3100.0,96100.0,CLNT-1129,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,68,шт,1450.0,98600.0,CLNT-1110,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,72,шт,1450.0,104400.0,CLNT-1027,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,79,шт,1200.0,94800.0,CLNT-1125,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,55,шт,1200.0,66000.0,CLNT-1010,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,42,шт,850.0,35700.0,CLNT-1077,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,40,шт,850.0,34000.0,CLNT-1052,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,46,шт,720.0,33120.0,CLNT-1012,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,35,шт,720.0,25200.0,CLNT-1007,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,197,м,160.0,31520.0,CLNT-1119,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,145,м,160.0,23200.0,CLNT-1068,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,91,м,2850.0,259350.0,CLNT-1022,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,90,м,2850.0,256500.0,CLNT-1053,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,216,м,75.0,16200.0,CLNT-1126,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,179,м,75.0,13425.0,CLNT-1092,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,13,шт,14200.0,184600.0,CLNT-1129,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,12,шт,14200.0,170400.0,CLNT-1115,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,6,шт,24500.0,147000.0,CLNT-1060,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,3,шт,24500.0,73500.0,CLNT-1119,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,47,шт,480.0,22560.0,CLNT-1042,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,46,шт,480.0,22080.0,CLNT-1133,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,225,шт,110.0,24750.0,CLNT-1012,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-27,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,144,шт,110.0,15840.0,CLNT-1049,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,155,м,420.0,65100.0,CLNT-1123,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,126,м,420.0,52920.0,CLNT-1037,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,229,м,680.0,155720.0,CLNT-1149,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,151,м,680.0,102680.0,CLNT-1130,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,90,м,950.0,85500.0,CLNT-1105,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,65,м,950.0,61750.0,CLNT-1027,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,152,м,180.0,27360.0,CLNT-1144,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,112,м,180.0,20160.0,CLNT-1059,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,81,м,540.0,43740.0,CLNT-1033,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,69,м,540.0,37260.0,CLNT-1109,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,24,м,1450.0,34800.0,CLNT-1054,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,23,м,1450.0,33350.0,CLNT-1066,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,86,шт,1150.0,98900.0,CLNT-1102,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,70,шт,1150.0,80500.0,CLNT-1065,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,69,шт,1150.0,79350.0,CLNT-1027,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,55,шт,1150.0,63250.0,CLNT-1072,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,39,шт,4600.0,179400.0,CLNT-1039,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,24,шт,4600.0,110400.0,CLNT-1011,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,15,шт,4200.0,63000.0,CLNT-1104,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,19,шт,4200.0,79800.0,CLNT-1051,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,36,шт,3850.0,138600.0,CLNT-1147,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,27,шт,3850.0,103950.0,CLNT-1066,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,4,шт,18500.0,74000.0,CLNT-1018,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-AUT-006,Автоматический выключатель дифференциальный 3P+N 63A,Модульное оборудование,3,шт,18500.0,55500.0,CLNT-1056,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,85,шт,5400.0,459000.0,CLNT-1054,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-001,Панель светодиодная LED 600x600 36W 4000K Опал,Светотехника,52,шт,5400.0,280800.0,CLNT-1003,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,77,шт,4800.0,369600.0,CLNT-1098,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-002,Прожектор светодиодный 50W 6500K IP65 SMD,Светотехника,48,шт,4800.0,230400.0,CLNT-1091,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,193,шт,420.0,81060.0,CLNT-1032,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-003,Лампа светодиодная LED A60 11W E27 4000K,Светотехника,150,шт,420.0,63000.0,CLNT-1142,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,24,шт,6200.0,148800.0,CLNT-1022,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-004,Светильник пылевлагозащищенный ЛСП 2х36W IP65,Светотехника,18,шт,6200.0,111600.0,CLNT-1101,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,26,шт,3100.0,80600.0,CLNT-1079,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-LGT-005,Светильник аварийный светодиодный 30 LED с АКБ,Светотехника,14,шт,3100.0,43400.0,CLNT-1143,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,84,шт,1450.0,121800.0,CLNT-1134,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-001,Розетка 2-местная с заземлением белая Glossa,Электроустановочные изделия,53,шт,1450.0,76850.0,CLNT-1009,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,58,шт,1200.0,69600.0,CLNT-1128,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-002,Выключатель 1-клавишный белый Glossa,Электроустановочные изделия,57,шт,1200.0,68400.0,CLNT-1060,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,39,шт,850.0,33150.0,CLNT-1099,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-003,Рамка 3 поста универсальная белая Glossa,Электроустановочные изделия,30,шт,850.0,25500.0,CLNT-1023,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,62,шт,720.0,44640.0,CLNT-1008,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-ELU-004,Вилка каучуковая прямая 16A IP44,Электроустановочные изделия,34,шт,720.0,24480.0,CLNT-1077,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,179,м,160.0,28640.0,CLNT-1025,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CNS-001,Кабель-канал 25х16 мм белый (упак. 40м),Кабельнесущие системы,132,м,160.0,21120.0,CLNT-1072,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,109,м,2850.0,310650.0,CLNT-1134,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CNS-002,Лоток перфорированный оцинкованный 100х50х3000,Кабельнесущие системы,57,м,2850.0,162450.0,CLNT-1079,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,246,м,75.0,18450.0,CLNT-1015,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-CNS-003,Труба гофрированная ПВХ d20 с протяжкой (100м),Кабельнесущие системы,198,м,75.0,14850.0,CLNT-1100,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,9,шт,14200.0,127800.0,CLNT-1032,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-001,Корпус металлический ЩРн-24з-1 36 УХЛ3 IP31,Щитовое оборудование,9,шт,14200.0,127800.0,CLNT-1015,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,16,шт,24500.0,392000.0,CLNT-1090,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-002,Счетчик э/э многотарифный 3-фазный прямого включения,Щитовое оборудование,10,шт,24500.0,245000.0,CLNT-1103,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,71,шт,480.0,34080.0,CLNT-1033,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-003,Шина нулевая изолированная на DIN-рейку 8х12 / 12 групп,Щитовое оборудование,34,шт,480.0,16320.0,CLNT-1002,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,204,шт,110.0,22440.0,CLNT-1011,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-28,EKT-SHT-004,Наконечник кабельный медный луженый ТМЛ 16-8-6,Щитовое оборудование,141,шт,110.0,15510.0,CLNT-1104,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,52,м,420.0,21840.0,CLNT-1059,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-001,Кабель ВВГнг(А)-LS 3х1.5 (бухта 100м),Кабель и провод,45,м,420.0,18900.0,CLNT-1098,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,73,м,680.0,49640.0,CLNT-1148,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-002,Кабель ВВГнг(А)-LS 3х2.5 (бухта 100м),Кабель и провод,62,м,680.0,42160.0,CLNT-1136,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,31,м,950.0,29450.0,CLNT-1113,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-003,Провод СИП-4 4х16 (барабан),Кабель и провод,18,м,950.0,17100.0,CLNT-1041,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,39,м,180.0,7020.0,CLNT-1134,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-004,Кабель витая пара UTP 4 пары Cat 5e PVC 305м,Кабель и провод,37,м,180.0,6660.0,CLNT-1130,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,20,м,540.0,10800.0,CLNT-1025,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-005,Провод ПВС 3х2.5 соединительный белый,Кабель и провод,24,м,540.0,12960.0,CLNT-1080,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,11,м,1450.0,15950.0,CLNT-1112,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-CBL-006,Кабель гибкий резиновый КГ-ХЛ 3х4+1х2.5,Кабель и провод,12,м,1450.0,17400.0,CLNT-1034,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,28,шт,1150.0,32200.0,CLNT-1112,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-001,Выключатель автоматический 1P 16A C 4.5кА ВА47-29,Модульное оборудование,25,шт,1150.0,28750.0,CLNT-1013,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,29,шт,1150.0,33350.0,CLNT-1053,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-002,Выключатель автоматический 1P 25A C 4.5кА ВА47-29,Модульное оборудование,20,шт,1150.0,23000.0,CLNT-1079,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,9,шт,4600.0,41400.0,CLNT-1082,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-003,Выключатель автоматический 3P 32A C 6кА Easy9,Модульное оборудование,10,шт,4600.0,46000.0,CLNT-1091,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,8,шт,4200.0,33600.0,CLNT-1099,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-004,УЗО 2P 40A 30мА электронное ВД1-63,Модульное оборудование,9,шт,4200.0,37800.0,CLNT-1014,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,14,шт,3850.0,53900.0,CLNT-1082,Склад Астана (Главный РЦ),0,Регулярная продажа,Штатный торговый оборот
2025-11-29,EKT-AUT-005,Дифференциальный автомат 1P+N 16A C 30мА АВДТ32,Модульное оборудование,9,шт,3850.0,34650.0,CLNT-1078,Склад Алматы (Южный РЦ),0,Регулярная продажа,Штатный торговый оборот
